,questionFrontendId,title,difficulty,likes,dislikes,similarQuestions
0,1,Two Sum,Easy,24170,801,"[{""title"": ""3Sum"", ""titleSlug"": ""3sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""4Sum"", ""titleSlug"": ""4sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Two Sum II - Input array is sorted"", ""titleSlug"": ""two-sum-ii-input-array-is-sorted"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Two Sum III - Data structure design"", ""titleSlug"": ""two-sum-iii-data-structure-design"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Subarray Sum Equals K"", ""titleSlug"": ""subarray-sum-equals-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Two Sum IV - Input is a BST"", ""titleSlug"": ""two-sum-iv-input-is-a-bst"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Two Sum Less Than K"", ""titleSlug"": ""two-sum-less-than-k"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Max Number of K-Sum Pairs"", ""titleSlug"": ""max-number-of-k-sum-pairs"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Good Meals"", ""titleSlug"": ""count-good-meals"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2,3,Longest Substring Without Repeating Characters,Medium,17122,815,"[{""title"": ""Longest Substring with At Most Two Distinct Characters"", ""titleSlug"": ""longest-substring-with-at-most-two-distinct-characters"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Substring with At Most K Distinct Characters"", ""titleSlug"": ""longest-substring-with-at-most-k-distinct-characters"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Subarrays with K Different Integers"", ""titleSlug"": ""subarrays-with-k-different-integers"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Maximum Erasure Value"", ""titleSlug"": ""maximum-erasure-value"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
52,53,Maximum Subarray,Easy,14190,673,"[{""title"": ""Best Time to Buy and Sell Stock"", ""titleSlug"": ""best-time-to-buy-and-sell-stock"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Maximum Product Subarray"", ""titleSlug"": ""maximum-product-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Degree of an Array"", ""titleSlug"": ""degree-of-an-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Longest Turbulent Subarray"", ""titleSlug"": ""longest-turbulent-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Absolute Sum of Any Subarray"", ""titleSlug"": ""maximum-absolute-sum-of-any-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Subarray Sum After One Operation"", ""titleSlug"": ""maximum-subarray-sum-after-one-operation"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
41,42,Trapping Rain Water,Hard,13765,194,"[{""title"": ""Container With Most Water"", ""titleSlug"": ""container-with-most-water"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Product of Array Except Self"", ""titleSlug"": ""product-of-array-except-self"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Trapping Rain Water II"", ""titleSlug"": ""trapping-rain-water-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Pour Water"", ""titleSlug"": ""pour-water"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1,2,Add Two Numbers,Medium,13669,3060,"[{""title"": ""Multiply Strings"", ""titleSlug"": ""multiply-strings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Add Binary"", ""titleSlug"": ""add-binary"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Sum of Two Integers"", ""titleSlug"": ""sum-of-two-integers"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Add Strings"", ""titleSlug"": ""add-strings"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Add Two Numbers II"", ""titleSlug"": ""add-two-numbers-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Add to Array-Form of Integer"", ""titleSlug"": ""add-to-array-form-of-integer"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Add Two Polynomials Represented as Linked Lists"", ""titleSlug"": ""add-two-polynomials-represented-as-linked-lists"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
4,5,Longest Palindromic Substring,Medium,13106,788,"[{""title"": ""Shortest Palindrome"", ""titleSlug"": ""shortest-palindrome"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Palindrome Permutation"", ""titleSlug"": ""palindrome-permutation"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Palindrome Pairs"", ""titleSlug"": ""palindrome-pairs"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Longest Palindromic Subsequence"", ""titleSlug"": ""longest-palindromic-subsequence"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Palindromic Substrings"", ""titleSlug"": ""palindromic-substrings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
14,15,3Sum,Medium,12724,1237,"[{""title"": ""Two Sum"", ""titleSlug"": ""two-sum"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""3Sum Closest"", ""titleSlug"": ""3sum-closest"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""4Sum"", ""titleSlug"": ""4sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""3Sum Smaller"", ""titleSlug"": ""3sum-smaller"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3,4,Median of Two Sorted Arrays,Hard,12187,1666,[]
10,11,Container With Most Water,Medium,11547,774,"[{""title"": ""Trapping Rain Water"", ""titleSlug"": ""trapping-rain-water"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
120,121,Best Time to Buy and Sell Stock,Easy,10521,419,"[{""title"": ""Maximum Subarray"", ""titleSlug"": ""maximum-subarray"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock II"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock III"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-iii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock IV"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-iv"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock with Cooldown"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-with-cooldown"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
